id,game_id,hastily,normally,completely,count,created_at,updated_at
694,16467,,1,1728556551,1728556551,,1800.0
695,1042,,1,1728556551,1728556551,,90000.0
696,2738,21600.0,3,1728556551,1743262932,,79200.0
697,8762,,1,1728556551,1728556551,,28800.0
698,2990,19800.0,4,1728556551,1756716870,18000.0,17100.0
699,15066,,1,1728556551,1728556551,,1500.0
700,1000,106620.0,2,1728556551,1728556551,,90000.0
701,44,,1,1728556551,1728556551,,64800.0
702,45,,1,1728556551,1728556551,,7200.0
703,9912,,1,1728556551,1728556551,,21600.0
704,9327,,2,1728556551,1751974921,,9300.0
705,15995,10800.0,4,1728556551,1732046957,7200.0,18000.0
706,2370,147600.0,2,1728556551,1728556551,127800.0,128700.0
707,16198,,1,1728556551,1728556551,18000.0,
708,15276,,1,1728556551,1728556551,,32400.0
709,238,,2,1728556551,1744283244,21600.0,21600.0
710,11625,7590.0,7,1728556551,1754040643,3600.0,11280.0
711,8621,3750.0,3,1728556551,1752996069,3600.0,7200.0
712,15067,1200.0,1,1728556551,1728556551,,
713,21641,,1,1728556551,1728556551,,10800.0
714,17540,,1,1728556551,1728556551,3000.0,
715,6253,,1,1728556551,1728556551,,18000.0
716,911,60150.0,3,1728556551,1748612708,54000.0,
717,14722,,1,1728556551,1728556551,,28800.0
718,284,28800.0,3,1728556551,1748982954,10800.0,150240.0
719,8738,,1,1728556551,1728556551,72000.0,
720,212,74400.0,3,1728556551,1758407021,,
721,342,25200.0,2,1728556551,1748614064,,54000.0
722,8321,,1,1728556551,1728556551,14400.0,
723,122,68400.0,3,1728556551,1752889421,28800.0,
724,2601,7200.0,1,1728556551,1728556551,,
725,1958,,1,1728556552,1728556552,,43200.0
726,3792,,1,1728556552,1728556552,,300.0
727,3008,,1,1728556552,1728556552,,90000.0
728,2896,50400.0,2,1728556552,1735545507,28800.0,108000.0
729,2897,84600.0,2,1728556552,1736060842,64800.0,
730,4782,,1,1728556552,1728556552,,14400.0
731,8981,,1,1728556552,1728556552,,7200.0
732,18041,,1,1728556552,1728556552,7200.0,
733,5821,,1,1728556552,1728556552,,21600.0
734,522,90000.0,2,1728556552,1728556552,43200.0,144000.0
735,2751,3600.0,2,1728556552,1753355197,5400.0,3600.0
736,548,,1,1728556552,1728556552,,79200.0
737,2672,,1,1728556552,1728556552,18000.0,
738,2671,,1,1728556552,1728556552,28800.0,
739,2629,,1,1728556552,1728556552,25200.0,
740,989,54000.0,1,1728556552,1728556552,,
741,990,,1,1728556552,1728556552,,90000.0
742,2732,,1,1728556552,1728556552,32400.0,
743,138,,1,1728556552,1728556552,,72000.0
744,546,36000.0,3,1728556552,1728556552,33120.0,43200.0
745,2692,,1,1728556552,1728556552,25200.0,
746,3171,64800.0,3,1728556552,1728556552,,153000.0
747,2682,54000.0,2,1728556552,1749650094,36000.0,72000.0
748,7057,,1,1728556552,1728556552,,180000.0
